competizione,nome_diretta,club_id
Coppa Italia,Atalanta,800
Coppa Italia,Audace Cerignola,22249
Coppa Italia,Avellino,2331
Coppa Italia,Bari,332
Coppa Italia,Bologna,1025
Coppa Italia,Cagliari,1390
Coppa Italia,Carrarese,4159
Coppa Italia,Catanzaro,4097
Coppa Italia,Cesena,1429
Coppa Italia,Como,1047
Coppa Italia,Cremonese,2239
Coppa Italia,Empoli,749
Coppa Italia,Entella,20519
Coppa Italia,Fiorentina,430
Coppa Italia,Frosinone,8970
Coppa Italia,Genoa,252
Coppa Italia,Inter,46
Coppa Italia,Juve Stabia,5587
Coppa Italia,Juventus,506
Coppa Italia,L.R. Vicenza,2655
Coppa Italia,Lazio,398
Coppa Italia,Lecce,1005
Coppa Italia,Mantova,2581
Coppa Italia,Milan,5
Coppa Italia,Modena,1385
Coppa Italia,Monza,2919
Coppa Italia,Napoli,6195
Coppa Italia,Padova,3037
Coppa Italia,Palermo,458
Coppa Italia,Parma,130
Coppa Italia,Pescara,2921
Coppa Italia,Pisa,4172
Coppa Italia,Reggiana,5621
Coppa Italia,Rimini,4111
Coppa Italia,Roma,12
Coppa Italia,Sampdoria,1038
Coppa Italia,Sassuolo,6574
Coppa Italia,Spezia,3522
Coppa Italia,Südtirol,4554
Coppa Italia,Ternana,1103
Coppa Italia,Torino,416
Coppa Italia,Udinese,410
Coppa Italia,Venezia,607
Coppa Italia,Verona,276
DFB-Pokal,Amburgo,41
DFB-Pokal,Augusta,167
DFB-Pokal,BFC Dynamo,222
DFB-Pokal,Bahlinger,1193
DFB-Pokal,Bayern,27
DFB-Pokal,Bielefeld,10
DFB-Pokal,Bochum,80
DFB-Pokal,Braunschweig,23
DFB-Pokal,Brema,86
DFB-Pokal,Colonia,3
DFB-Pokal,Cottbus,25
DFB-Pokal,Darmstadt,105
DFB-Pokal,Delmenhorst,29988
DFB-Pokal,Dortmund,16
DFB-Pokal,Dresda,129
DFB-Pokal,Dusseldorf,38
DFB-Pokal,Elversberg,64
DFB-Pokal,Engers,2085
DFB-Pokal,FC Gutersloh,220
DFB-Pokal,Francoforte,24
DFB-Pokal,Friburgo,60
DFB-Pokal,Furth,65
DFB-Pokal,Grossaspach,2589
DFB-Pokal,Hallescher,440
DFB-Pokal,Hannover,42
DFB-Pokal,Heidenheim,2036
DFB-Pokal,Hemelingen,26444
DFB-Pokal,Hertha,44
DFB-Pokal,Hoffenheim,533
