competizione,turno_diretta,data,casa,ospite,club_casa,club_ospite,id_diretta,game_id,turno_nostro
Coppa Italia,FINALE,2026-05-13,Lazio,Inter,398,46,xYQFQSOk,,Final
Coppa Italia,SEMI FINALI,2026-04-22,Atalanta,Lazio,800,398,UTn2mTd2,4824556.0,Semi-Finals 2nd Leg
Coppa Italia,SEMI FINALI,2026-04-21,Inter,Como,46,1047,vyzoWyLG,4824555.0,Semi-Finals 2nd Leg
Coppa Italia,SEMI FINALI,2026-03-04,Lazio,Atalanta,398,800,M3qfkkSk,4824554.0,Semi-Finals 1st Leg
Coppa Italia,SEMI FINALI,2026-03-03,Como,Inter,1047,46,WAWxYcj4,4824553.0,Semi-Finals 1st Leg
Coppa Italia,QUARTI DI FINALE,2026-02-11,Bologna,Lazio,1025,398,0KKE2Vjf,4785784.0,Quarter-Finals
Coppa Italia,QUARTI DI FINALE,2026-02-10,Napoli,Como,6195,1047,jHoo92Bk,4785787.0,Quarter-Finals
Coppa Italia,QUARTI DI FINALE,2026-02-05,Atalanta,Juventus,800,506,baWtW3x9,4785785.0,Quarter-Finals
Coppa Italia,QUARTI DI FINALE,2026-02-04,Inter,Torino,46,416,nB3jfHE8,4785786.0,Quarter-Finals
Coppa Italia,1/8 FINALE,2026-01-27,Fiorentina,Como,430,1047,hlp6vKjL,4736149.0,Round of 16
Coppa Italia,1/8 FINALE,2026-01-13,Roma,Torino,12,416,nHEM6Zzq,4736148.0,Round of 16
Coppa Italia,1/8 FINALE,2025-12-04,Lazio,Milan,398,5,UcuV0FZA,4736144.0,Round of 16
Coppa Italia,1/8 FINALE,2025-12-04,Bologna,Parma,1025,130,Cv4b8uQF,4736143.0,Round of 16
Coppa Italia,1/8 FINALE,2025-12-03,Inter,Venezia,46,607,jBda0F3B,4736147.0,Round of 16
Coppa Italia,1/8 FINALE,2025-12-03,Napoli,Cagliari,6195,1390,lAhdI8Q7,4736150.0,Round of 16
Coppa Italia,1/8 FINALE,2025-12-03,Atalanta,Genoa,800,252,nT4jpxVs,4736146.0,Round of 16
Coppa Italia,1/8 FINALE,2025-12-02,Juventus,Udinese,506,410,nofsDllf,4736145.0,Round of 16
Coppa Italia,1/16 FINALE,2025-09-25,Torino,Pisa,416,4172,niTbgBVh,4709642.0,Second Round
Coppa Italia,1/16 FINALE,2025-09-25,Genoa,Empoli,252,749,4np6ac7T,4709225.0,Second Round
Coppa Italia,1/16 FINALE,2025-09-24,Como,Sassuolo,1047,6574,lErvz9EE,4709226.0,Second Round
Coppa Italia,1/16 FINALE,2025-09-24,Verona,Venezia,276,607,hj7GkWE7,4709561.0,Second Round
Coppa Italia,1/16 FINALE,2025-09-24,Parma,Spezia,130,3522,QXUOBVlg,4709560.0,Second Round
Coppa Italia,1/16 FINALE,2025-09-23,Milan,Lecce,5,1005,fV3kxprh,4709224.0,Second Round
Coppa Italia,1/16 FINALE,2025-09-23,Udinese,Palermo,410,458,EuYVB1Pb,4709641.0,Second Round
Coppa Italia,1/16 FINALE,2025-09-23,Cagliari,Frosinone,1390,8970,Ays5Z1Hl,4709227.0,Second Round
Coppa Italia,1/32 FINALE,2025-08-18,Torino,Modena,416,1385,drE6wrOE,4631318.0,First Round
Coppa Italia,1/32 FINALE,2025-08-18,Udinese,Carrarese,410,4159,MPaOQ4v9,4631317.0,First Round
Coppa Italia,1/32 FINALE,2025-08-18,Spezia,Sampdoria,3522,1038,Cfv3JMWr,4631316.0,First Round
Coppa Italia,1/32 FINALE,2025-08-18,Audace Cerignola,Verona,22249,276,xp8sStuo,4669575.0,First Round
Coppa Italia,1/32 FINALE,2025-08-17,Milan,Bari,5,332,dOsfHi7C,4631315.0,First Round
Coppa Italia,1/32 FINALE,2025-08-17,Cesena,Pisa,1429,4172,tnGCZYMt,4631314.0,First Round
Coppa Italia,1/32 FINALE,2025-08-17,Parma,Pescara,130,2921,61HBX2HN,4669574.0,First Round
Coppa Italia,1/32 FINALE,2025-08-17,Monza,Frosinone,2919,8970,214LXCig,4631313.0,First Round
Coppa Italia,1/32 FINALE,2025-08-16,Cremonese,Palermo,2239,458,fJ7x31n2,4631312.0,First Round
Coppa Italia,1/32 FINALE,2025-08-16,Cagliari,Entella,1390,20519,byt7abR7,4669573.0,First Round
Coppa Italia,1/32 FINALE,2025-08-16,Como,Südtirol,1047,4554,GOhXOr9L,4631311.0,First Round
Coppa Italia,1/32 FINALE,2025-08-16,Venezia,Mantova,607,2581,8MXBH01e,4631310.0,First Round
Coppa Italia,1/32 FINALE,2025-08-15,Genoa,L.R. Vicenza,252,2655,ILv0JCdD,4669572.0,First Round
Coppa Italia,1/32 FINALE,2025-08-15,Lecce,Juve Stabia,1005,5587,hjy3FVyP,4631309.0,First Round
Coppa Italia,1/32 FINALE,2025-08-15,Sassuolo,Catanzaro,6574,4097,OAqnJDx0,4631308.0,First Round
Coppa Italia,1/32 FINALE,2025-08-15,Empoli,Reggiana,749,5621,GnyKFvW7,4631307.0,First Round
Coppa Italia,1/64 FINALE,2025-08-10,Audace Cerignola,Avellino,22249,2331,6g1xUUjI,4630640.0,Qualifying Round
Coppa Italia,1/64 FINALE,2025-08-10,Pescara,Rimini,2921,4111,SrjwLZ7m,4630641.0,Qualifying Round
Coppa Italia,1/64 FINALE,2025-08-10,Padova,L.R. Vicenza,3037,2655,AR7TVjM5,4630639.0,Qualifying Round
Coppa Italia,1/64 FINALE,2025-08-09,Entella,Ternana,20519,1103,v7apS8LU,4630638.0,Qualifying Round
DFB-Pokal,FINALE,2026-05-23,Bayern,Stoccarda,27,79,2VWWP3Cc,,Final
DFB-Pokal,SEMI FINALI,2026-04-23,Stoccarda,Friburgo,79,60,dAmVwZvJ,4830556.0,Semi-Finals
DFB-Pokal,SEMI FINALI,2026-04-22,Leverkusen,Bayern,15,27,l4zH1xXP,4830557.0,Semi-Finals
DFB-Pokal,QUARTI DI FINALE,2026-02-11,Bayern,RB Lipsia,27,23826,f3czdX2n,4782524.0,Quarter-Finals
DFB-Pokal,QUARTI DI FINALE,2026-02-10,Hertha,Friburgo,44,60,GIoqfBXb,4782523.0,Quarter-Finals
DFB-Pokal,QUARTI DI FINALE,2026-02-04,Kiel,Stoccarda,269,79,2Zqihk2B,4782525.0,Quarter-Finals
DFB-Pokal,QUARTI DI FINALE,2026-02-03,Leverkusen,St. Pauli,15,35,b1w0jTWN,4782526.0,Quarter-Finals
DFB-Pokal,1/8 FINALE,2025-12-03,Amburgo,Kiel,41,269,pA5nAoI8,4761587.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-03,Union Berlino,Bayern,89,27,hGI0nrQ1,4761581.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-03,Bochum,Stoccarda,80,79,QakDen3F,4761582.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-03,Friburgo,Darmstadt,60,105,d24Q23Ar,4761584.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-02,Dortmund,Leverkusen,16,15,IHhZ0sue,4761580.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-02,RB Lipsia,Magdeburg,23826,187,txae8PnL,4761586.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-02,Hertha,Kaiserslautern,44,2,nFwMgQXR,4761583.0,Round of 16
DFB-Pokal,1/8 FINALE,2025-12-02,Monchengladbach,St. Pauli,18,35,dlPil4ek,4761585.0,Round of 16
DFB-Pokal,1/16 FINALE,2025-10-29,Colonia,Bayern,3,27,UTBdLGkg,4717160.0,Second Round
